timestamp,is_dst_duplicate,zone,load_mw
2020-01-01 14:00:00,False,SCENT,6198.229817
2020-01-01 14:00:00,False,SOUTH,2986.576721
2020-01-01 14:00:00,False,WEST,1230.48684
2020-01-01 15:00:00,False,COAST,10518.264838
2020-01-01 15:00:00,False,EAST,1388.951533
2020-01-01 15:00:00,False,ERCOT,39384.852861
2020-01-01 15:00:00,False,FWEST,3766.763367
2020-01-01 15:00:00,False,NCENT,12585.628994
2020-01-01 15:00:00,False,NORTH,791.027362
2020-01-01 15:00:00,False,SCENT,6137.564934
2020-01-01 15:00:00,False,SOUTH,2977.088123
2020-01-01 15:00:00,False,WEST,1219.563711
2020-01-01 16:00:00,False,COAST,10459.091434
2020-01-01 16:00:00,False,EAST,1392.920976
2020-01-01 16:00:00,False,ERCOT,39038.271821
2020-01-01 16:00:00,False,FWEST,3741.518064
2020-01-01 16:00:00,False,NCENT,12355.044151
2020-01-01 16:00:00,False,NORTH,779.597822
2020-01-01 16:00:00,False,SCENT,6123.704192
2020-01-01 16:00:00,False,SOUTH,2979.196915
2020-01-01 16:00:00,False,WEST,1207.198266
2020-01-01 17:00:00,False,COAST,10489.812082
2020-01-01 17:00:00,False,EAST,1396.660198
2020-01-01 17:00:00,False,ERCOT,39255.080489
2020-01-01 17:00:00,False,FWEST,3757.088145
2020-01-01 17:00:00,False,NCENT,12405.857931
2020-01-01 17:00:00,False,NORTH,787.356181
2020-01-01 17:00:00,False,SCENT,6206.896476
2020-01-01 17:00:00,False,SOUTH,2994.638058
2020-01-01 17:00:00,False,WEST,1216.771419
2020-01-01 18:00:00,False,COAST,10877.519766
2020-01-01 18:00:00,False,EAST,1434.215153
2020-01-01 18:00:00,False,ERCOT,40736.82994
2020-01-01 18:00:00,False,FWEST,3781.104354
2020-01-01 18:00:00,False,NCENT,12996.476508
2020-01-01 18:00:00,False,NORTH,822.600379
2020-01-01 18:00:00,False,SCENT,6487.625585
2020-01-01 18:00:00,False,SOUTH,3088.051177
2020-01-01 18:00:00,False,WEST,1249.237018
2020-01-01 19:00:00,False,COAST,11021.175321
2020-01-01 19:00:00,False,EAST,1472.40751
2020-01-01 19:00:00,False,ERCOT,41737.743128
2020-01-01 19:00:00,False,FWEST,3826.625241
2020-01-01 19:00:00,False,NCENT,13399.93293
2020-01-01 19:00:00,False,NORTH,837.139336
2020-01-01 19:00:00,False,SCENT,6674.185988
2020-01-01 19:00:00,False,SOUTH,3217.823708
2020-01-01 19:00:00,False,WEST,1288.453094
2020-01-01 20:00:00,False,COAST,10891.344109
2020-01-01 20:00:00,False,EAST,1471.499906
2020-01-01 20:00:00,False,ERCOT,41273.480684
2020-01-01 20:00:00,False,FWEST,3822.093481
2020-01-01 20:00:00,False,NCENT,13202.036378
2020-01-01 20:00:00,False,NORTH,822.960248
2020-01-01 20:00:00,False,SCENT,6569.938028
2020-01-01 20:00:00,False,SOUTH,3203.666256
2020-01-01 20:00:00,False,WEST,1289.942278
2020-01-01 21:00:00,False,COAST,10720.986311
2020-01-01 21:00:00,False,EAST,1420.158893
2020-01-01 21:00:00,False,ERCOT,40551.189171
2020-01-01 21:00:00,False,FWEST,3796.07206
2020-01-01 21:00:00,False,NCENT,12959.992547
2020-01-01 21:00:00,False,NORTH,809.954545
2020-01-01 21:00:00,False,SCENT,6410.358117
2020-01-01 21:00:00,False,SOUTH,3150.629516
2020-01-01 21:00:00,False,WEST,1283.037181
2020-01-01 22:00:00,False,COAST,10437.422564
2020-01-01 22:00:00,False,EAST,1374.982399
2020-01-01 22:00:00,False,ERCOT,39382.303166
2020-01-01 22:00:00,False,FWEST,3769.20774
2020-01-01 22:00:00,False,NCENT,12513.713566
2020-01-01 22:00:00,False,NORTH,784.113742
2020-01-01 22:00:00,False,SCENT,6164.698124
2020-01-01 22:00:00,False,SOUTH,3082.388207
2020-01-01 22:00:00,False,WEST,1255.776824
2020-01-01 23:00:00,False,COAST,9978.618301
2020-01-01 23:00:00,False,EAST,1287.651953
2020-01-01 23:00:00,False,ERCOT,37563.3057
2020-01-01 23:00:00,False,FWEST,3729.656056
2020-01-01 23:00:00,False,NCENT,11815.853917
2020-01-01 23:00:00,False,NORTH,747.155657
2020-01-01 23:00:00,False,SCENT,5838.722201
2020-01-01 23:00:00,False,SOUTH,2954.495543
